id,age,lifestyle,zip code,family status,car,sports,earnings,label,Living area,State
EFW2wPUd,23,active,46091,single,expensive,badminton,87930,no response,urban,IN
blgRsgOo,44,healthy,19235,married,expensive,athletics,34438,no response,urban,PA
tiGUCYEZ,56,active,53719,married,expensive,athletics,130857,response,urban,WI
6cIUttLG,28,cozily,87261,married,expensive,,130624,no response,urban,NM
dOuu6wHk,17,cozily,75701,married,expensive,soccer,81520,no response,rural,TX
mMtbaGOC,28,active,18022,married,practical,badminton,27646,no response,urban,PA
NBUJJYLG,43,active,77257,married,practical,athletics,140901,response,urban,TX
Q7FOWtbx,69,healthy,30748,single,expensive,athletics,37805,response,urban,GA
xHL28m77,59,healthy,55284,married,practical,,147055,response,urban,MN
SnQ3Wx7a,43,healthy,88980,single,practical,soccer,75037,no response,urban,NV
occBvfs4,34,cozily,11018,married,practical,athletics,29496,response,urban,NY
knDJdmUP,31,cozily,76266,single,practical,soccer,64364,no response,urban,TX
uj9WgGxI,36,cozily,27823,single,practical,soccer,111556,no response,rural,NC
XGJaTNZu,40,healthy,94808,married,practical,athletics,122696,no response,urban,CA
XlZIKH9H,56,healthy,76681,single,practical,badminton,60422,response,urban,TX
be4VJqF2,37,healthy,65815,married,expensive,,37982,no response,urban,MO
2VK7kRiZ,32,healthy,21949,single,practical,athletics,49800,no response,rural,MD
GjMgu5Nj,45,healthy,87672,married,practical,soccer,108270,no response,urban,NM
i4CT2swV,69,healthy,71283,single,practical,badminton,92094,response,rural,LA
ujkwEAHy,37,active,36068,single,expensive,,85153,no response,urban,AL
vnxLwDyy,22,healthy,75929,married,expensive,athletics,135750,no response,urban,TX
PPEpH5d4,37,active,15274,married,practical,soccer,92958,no response,urban,PA
PYzouZPE,22,healthy,66608,married,expensive,soccer,67984,no response,urban,KS
cvo1raHz,45,cozily,11096,married,expensive,soccer,29223,response,urban,NY
snA828ba,39,active,43521,single,expensive,badminton,95979,no response,rural,OH
W6eXrmEl,25,active,73679,married,expensive,,95463,no response,urban,OK
K43wSojm,36,healthy,68120,married,practical,badminton,85490,no response,rural,NE
X9LfR5F1,46,healthy,74775,single,practical,soccer,81395,no response,urban,OK
pE3VYMQi,20,healthy,55663,married,practical,,57551,no response,urban,MN
JHXleQhH,30,cozily,48487,married,expensive,athletics,22877,no response,urban,MI
s45lcuGD,50,cozily,60386,single,practical,athletics,129856,no response,urban,IL
8ZUbloFH,22,active,82484,single,practical,badminton,84565,no response,urban,WY
GwtXk5RP,46,healthy,14393,married,expensive,badminton,94171,no response,urban,NY
CozzBkkQ,38,cozily,30926,single,practical,soccer,103864,no response,urban,GA
lnb7eVZM,19,cozily,27757,married,practical,badminton,51171,no response,rural,NC
UZxSn7lh,69,healthy,45294,married,practical,badminton,115754,response,urban,OH
KhcC14sY,41,active,60815,single,practical,soccer,63810,no response,urban,IL
GJe5pGDD,53,healthy,69927,single,expensive,athletics,21814,no response,urban,NE
JkIwiyCM,24,active,60877,single,expensive,badminton,143486,response,urban,IL
vZcTa19Z,60,active,27174,married,practical,badminton,137080,no response,urban,NC
JF84BXYn,16,active,36209,married,practical,soccer,129086,no response,rural,AL
HRaQBkKI,55,active,24677,married,expensive,athletics,47464,no response,rural,VA
r4VY4mFV,58,cozily,33500,single,practical,,23168,response,rural,FL
DhYiCMRg,62,cozily,35069,married,practical,badminton,32535,response,urban,AL
AeyoWDEN,69,healthy,37703,married,practical,,70106,response,rural,TN
YbuthpjR,17,healthy,55945,single,expensive,badminton,129216,no response,urban,MN
aJKK6tim,69,healthy,60497,single,expensive,athletics,124990,response,urban,IL
N0eNrPgP,50,active,68326,single,expensive,soccer,33684,no response,urban,NE
qGFrHmtT,49,active,92896,married,practical,athletics,55276,no response,urban,CA
XWHnkyL4,59,active,59634,single,expensive,badminton,56872,response,urban,MT
a5k7VN8P,47,cozily,84952,single,expensive,athletics,99958,no response,urban,UT
Jbyz0ICI,27,active,73045,married,practical,athletics,138876,no response,urban,OK
ypzCl2mi,39,active,38488,single,practical,badminton,131862,no response,rural,TN
L636oyq9,66,cozily,37568,married,practical,athletics,35934,response,urban,TN
Gq52Yb0I,31,active,62677,married,practical,athletics,134906,no response,urban,IL
2f3zn2xf,49,cozily,39478,married,expensive,badminton,90815,no response,urban,MS
CEZTFJPe,21,cozily,30242,single,expensive,athletics,54028,no response,urban,GA
EaUU1zeW,45,active,46337,married,practical,badminton,23933,no response,urban,IN
Y7dcow9w,42,active,40484,single,practical,,93333,no response,urban,KY
rzzGu1al,28,active,59642,married,expensive,athletics,115160,no response,urban,MT
0at5nE4l,50,cozily,61197,single,expensive,athletics,117431,no response,rural,IL
d36LXwA1,27,healthy,20022,single,expensive,athletics,77348,response,urban,DC
VsozHloy,34,active,84582,single,expensive,badminton,28611,no response,urban,UT
CvFck5BY,38,cozily,44069,single,expensive,badminton,107938,no response,rural,OH
w3v4Avl9,37,active,74633,single,practical,athletics,112705,no response,urban,OK
S9yABF7q,32,cozily,52287,married,practical,,20524,no response,urban,IA
Z5G3KnFd,33,healthy,98545,married,practical,badminton,41979,no response,rural,WA
nK47I5Cf,41,active,95374,married,practical,soccer,130657,no response,urban,CA
ie6NaRzR,49,healthy,73500,single,practical,athletics,49908,no response,urban,OK
FxJTI71Z,56,healthy,51813,single,practical,soccer,67203,response,urban,IA
pX0YDFMv,23,cozily,81431,married,practical,athletics,113476,no response,rural,CO
UMHsi5kH,41,cozily,96819,single,expensive,,108744,no response,urban,HI
buBzNAQy,60,healthy,10334,married,practical,badminton,134226,no response,urban,NY
4NfhoY85,19,active,10427,single,practical,soccer,89149,response,urban,NY
bMvYVkHK,49,active,37912,single,expensive,soccer,109551,no response,urban,TN
MMtMgZyD,17,healthy,36163,married,expensive,badminton,26153,no response,urban,AL
KL10LyY9,42,cozily,37880,married,expensive,badminton,96275,no response,rural,TN
EHsXtiP2,22,cozily,30431,married,practical,,124805,no response,urban,GA
z1vnhMbe,40,active,98889,married,expensive,athletics,145589,response,urban,WA
maHQ1DAW,45,healthy,33103,single,expensive,athletics,100638,no response,urban,FL
RERVn4QA,31,healthy,28734,single,practical,athletics,34896,no response,urban,NC
Gi5n5rmV,15,active,95383,married,expensive,badminton,92344,no response,urban,CA
U0AyRFFM,62,cozily,74469,married,practical,soccer,85516,response,urban,OK
hBhg77t6,47,active,54650,married,expensive,athletics,109418,no response,urban,WI
tkAdyNiR,24,cozily,50861,married,practical,badminton,95017,no response,urban,IA
rv1LSTog,52,healthy,21917,single,practical,,66578,no response,rural,MD
bN5TdQqo,48,active,34583,single,practical,athletics,129684,no response,urban,FL
CFhmsM7k,30,cozily,23901,single,practical,soccer,119872,no response,rural,VA
V43Y9M9f,58,healthy,25157,married,expensive,soccer,54520,response,rural,WV
uI9g6qmn,32,cozily,35963,single,practical,athletics,134332,no response,rural,AL
3DF4MaYW,34,active,99731,married,expensive,athletics,125508,no response,urban,AK
gSaywB4e,18,cozily,53866,married,practical,,144054,response,rural,WI
mfagHRNF,69,active,77998,single,practical,athletics,75528,response,rural,TX
0df1AcEr,37,cozily,81274,single,expensive,badminton,42933,no response,urban,CO
